"TIME","TIME_LABEL","GEO","GEO_LABEL","SEX","AGE","UNIT","Value","Flag and Footnotes"
2007,2007,"HR","Croatia","Total","From 15 to 64 years","Percentage",59,""
2008,2008,"HR","Croatia","Total","From 15 to 64 years","Percentage",60,""
2009,2009,"HR","Croatia","Total","From 15 to 64 years","Percentage",59.4,""
2010,2010,"HR","Croatia","Total","From 15 to 64 years","Percentage",57.4,""
2011,2011,"HR","Croatia","Total","From 15 to 64 years","Percentage",55.2,""
2012,2012,"HR","Croatia","Total","From 15 to 64 years","Percentage",53.5,""
2013,2013,"HR","Croatia","Total","From 15 to 64 years","Percentage",52.5,""
2014,2014,"HR","Croatia","Total","From 15 to 64 years","Percentage",54.6,""
1999,1999,"CY","Cyprus","Total","From 15 to 64 years","Percentage",63.7,""
2000,2000,"CY","Cyprus","Total","From 15 to 64 years","Percentage",65.4,""
2001,2001,"CY","Cyprus","Total","From 15 to 64 years","Percentage",67.9,""
2002,2002,"CY","Cyprus","Total","From 15 to 64 years","Percentage",68.5,""
2003,2003,"CY","Cyprus","Total","From 15 to 64 years","Percentage",69.2,""
2004,2004,"CY","Cyprus","Total","From 15 to 64 years","Percentage",69.4,""
2005,2005,"CY","Cyprus","Total","From 15 to 64 years","Percentage",68.5,"b"
2006,2006,"CY","Cyprus","Total","From 15 to 64 years","Percentage",69.6,""
2007,2007,"CY","Cyprus","Total","From 15 to 64 years","Percentage",71,""
2008,2008,"CY","Cyprus","Total","From 15 to 64 years","Percentage",70.9,""
2009,2009,"CY","Cyprus","Total","From 15 to 64 years","Percentage",69,"b"
2010,2010,"CY","Cyprus","Total","From 15 to 64 years","Percentage",68.9,""
2011,2011,"CY","Cyprus","Total","From 15 to 64 years","Percentage",67.6,""
2012,2012,"CY","Cyprus","Total","From 15 to 64 years","Percentage",64.6,""
2013,2013,"CY","Cyprus","Total","From 15 to 64 years","Percentage",61.7,""
2014,2014,"CY","Cyprus","Total","From 15 to 64 years","Percentage",62.1,""
1999,1999,"CZ","Czech Republic","Total","From 15 to 64 years","Percentage",65.6,""
2000,2000,"CZ","Czech Republic","Total","From 15 to 64 years","Percentage",64.9,""
2001,2001,"CZ","Czech Republic","Total","From 15 to 64 years","Percentage",65,""
2002,2002,"CZ","Czech Republic","Total","From 15 to 64 years","Percentage",65.5,""
2003,2003,"CZ","Czech Republic","Total","From 15 to 64 years","Percentage",64.9,""
2004,2004,"CZ","Czech Republic","Total","From 15 to 64 years","Percentage",64.1,""
2005,2005,"CZ","Czech Republic","Total","From 15 to 64 years","Percentage",64.8,"b"
2006,2006,"CZ","Czech Republic","Total","From 15 to 64 years","Percentage",65.3,""
2007,2007,"CZ","Czech Republic","Total","From 15 to 64 years","Percentage",66.1,""
2008,2008,"CZ","Czech Republic","Total","From 15 to 64 years","Percentage",66.6,""
2009,2009,"CZ","Czech Republic","Total","From 15 to 64 years","Percentage",65.4,""
2010,2010,"CZ","Czech Republic","Total","From 15 to 64 years","Percentage",65,""
2011,2011,"CZ","Czech Republic","Total","From 15 to 64 years","Percentage",65.7,"b"
2012,2012,"CZ","Czech Republic","Total","From 15 to 64 years","Percentage",66.5,""
2013,2013,"CZ","Czech Republic","Total","From 15 to 64 years","Percentage",67.7,""
2014,2014,"CZ","Czech Republic","Total","From 15 to 64 years","Percentage",69,""
1999,1999,"DK","Denmark","Total","From 15 to 64 years","Percentage",76.5,""
2000,2000,"DK","Denmark","Total","From 15 to 64 years","Percentage",76.4,""
2001,2001,"DK","Denmark","Total","From 15 to 64 years","Percentage",75.9,""
2002,2002,"DK","Denmark","Total","From 15 to 64 years","Percentage",76.4,""
2003,2003,"DK","Denmark","Total","From 15 to 64 years","Percentage",75.1,""
2004,2004,"DK","Denmark","Total","From 15 to 64 years","Percentage",76,""
2005,2005,"DK","Denmark","Total","From 15 to 64 years","Percentage",75.9,"b"
2006,2006,"DK","Denmark","Total","From 15 to 64 years","Percentage",77.4,""
2007,2007,"DK","Denmark","Total","From 15 to 64 years","Percentage",77,""
2008,2008,"DK","Denmark","Total","From 15 to 64 years","Percentage",77.9,""
2009,2009,"DK","Denmark","Total","From 15 to 64 years","Percentage",75.3,""
2010,2010,"DK","Denmark","Total","From 15 to 64 years","Percentage",73.3,""
2011,2011,"DK","Denmark","Total","From 15 to 64 years","Percentage",73.1,""
2012,2012,"DK","Denmark","Total","From 15 to 64 years","Percentage",72.6,""
2013,2013,"DK","Denmark","Total","From 15 to 64 years","Percentage",72.5,""
2014,2014,"DK","Denmark","Total","From 15 to 64 years","Percentage",72.8,""
1999,1999,"EE","Estonia","Total","From 15 to 64 years","Percentage",61.8,""
2000,2000,"EE","Estonia","Total","From 15 to 64 years","Percentage",60.9,"b"
2001,2001,"EE","Estonia","Total","From 15 to 64 years","Percentage",60.6,""
2002,2002,"EE","Estonia","Total","From 15 to 64 years","Percentage",61.4,""
2003,2003,"EE","Estonia","Total","From 15 to 64 years","Percentage",62.4,""
2004,2004,"EE","Estonia","Total","From 15 to 64 years","Percentage",63.2,""
2005,2005,"EE","Estonia","Total","From 15 to 64 years","Percentage",64.8,"b"
2006,2006,"EE","Estonia","Total","From 15 to 64 years","Percentage",68.4,""
2007,2007,"EE","Estonia","Total","From 15 to 64 years","Percentage",69.8,""
2008,2008,"EE","Estonia","Total","From 15 to 64 years","Percentage",70.1,""
2009,2009,"EE","Estonia","Total","From 15 to 64 years","Percentage",63.8,""
2010,2010,"EE","Estonia","Total","From 15 to 64 years","Percentage",61.2,""
2011,2011,"EE","Estonia","Total","From 15 to 64 years","Percentage",65.3,""
2012,2012,"EE","Estonia","Total","From 15 to 64 years","Percentage",67.1,""
2013,2013,"EE","Estonia","Total","From 15 to 64 years","Percentage",68.5,""
2014,2014,"EE","Estonia","Total","From 15 to 64 years","Percentage",69.6,""
1999,1999,"FI","Finland","Total","From 15 to 64 years","Percentage",67.4,""
2000,2000,"FI","Finland","Total","From 15 to 64 years","Percentage",68.1,"b"
2001,2001,"FI","Finland","Total","From 15 to 64 years","Percentage",69.1,""
2002,2002,"FI","Finland","Total","From 15 to 64 years","Percentage",69.1,""
2003,2003,"FI","Finland","Total","From 15 to 64 years","Percentage",68.7,""
2004,2004,"FI","Finland","Total","From 15 to 64 years","Percentage",68.3,""
2005,2005,"FI","Finland","Total","From 15 to 64 years","Percentage",68.4,"b"
2006,2006,"FI","Finland","Total","From 15 to 64 years","Percentage",69.3,""
2007,2007,"FI","Finland","Total","From 15 to 64 years","Percentage",70.3,""
2008,2008,"FI","Finland","Total","From 15 to 64 years","Percentage",71.1,"b"
2009,2009,"FI","Finland","Total","From 15 to 64 years","Percentage",68.7,""
2010,2010,"FI","Finland","Total","From 15 to 64 years","Percentage",68.1,""
2011,2011,"FI","Finland","Total","From 15 to 64 years","Percentage",69,""
2012,2012,"FI","Finland","Total","From 15 to 64 years","Percentage",69.4,""
2013,2013,"FI","Finland","Total","From 15 to 64 years","Percentage",68.9,""
2014,2014,"FI","Finland","Total","From 15 to 64 years","Percentage",68.7,""
1999,1999,"MK","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 64 years","Percentage",NA,""
2000,2000,"MK","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 64 years","Percentage",NA,""
2001,2001,"MK","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 64 years","Percentage",NA,""
2002,2002,"MK","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 64 years","Percentage",NA,""
2003,2003,"MK","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 64 years","Percentage",NA,""
2004,2004,"MK","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 64 years","Percentage",NA,""
2005,2005,"MK","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 64 years","Percentage",NA,""
2006,2006,"MK","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 64 years","Percentage",39.6,""
2007,2007,"MK","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 64 years","Percentage",40.7,""
2008,2008,"MK","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 64 years","Percentage",41.9,""
2009,2009,"MK","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 64 years","Percentage",43.3,""
2010,2010,"MK","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 64 years","Percentage",43.5,""
2011,2011,"MK","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 64 years","Percentage",43.9,""
2012,2012,"MK","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 64 years","Percentage",44,""
2013,2013,"MK","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 64 years","Percentage",46,""
2014,2014,"MK","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 64 years","Percentage",46.9,""
1999,1999,"FR","France","Total","From 15 to 64 years","Percentage",60.4,""
2000,2000,"FR","France","Total","From 15 to 64 years","Percentage",61.7,""
2001,2001,"FR","France","Total","From 15 to 64 years","Percentage",62.1,""
2002,2002,"FR","France","Total","From 15 to 64 years","Percentage",62.4,""
2003,2003,"FR","France","Total","From 15 to 64 years","Percentage",63.4,"b"
2004,2004,"FR","France","Total","From 15 to 64 years","Percentage",62.9,""
2005,2005,"FR","France","Total","From 15 to 64 years","Percentage",63.2,"b"
2006,2006,"FR","France","Total","From 15 to 64 years","Percentage",63.2,""
2007,2007,"FR","France","Total","From 15 to 64 years","Percentage",63.9,""
2008,2008,"FR","France","Total","From 15 to 64 years","Percentage",64.4,""
2009,2009,"FR","France","Total","From 15 to 64 years","Percentage",63.6,""
2010,2010,"FR","France","Total","From 15 to 64 years","Percentage",63.5,""
2011,2011,"FR","France","Total","From 15 to 64 years","Percentage",63.4,""
2012,2012,"FR","France","Total","From 15 to 64 years","Percentage",63.5,""
2013,2013,"FR","France","Total","From 15 to 64 years","Percentage",63.6,""
2014,2014,"FR","France","Total","From 15 to 64 years","Percentage",63.8,"b"
1999,1999,"DE","Germany","Total","From 15 to 64 years","Percentage",64.8,""
2000,2000,"DE","Germany","Total","From 15 to 64 years","Percentage",65.3,""
2001,2001,"DE","Germany","Total","From 15 to 64 years","Percentage",65.7,""
2002,2002,"DE","Germany","Total","From 15 to 64 years","Percentage",65.4,""
2003,2003,"DE","Germany","Total","From 15 to 64 years","Percentage",64.9,""
2004,2004,"DE","Germany","Total","From 15 to 64 years","Percentage",64.3,""
2005,2005,"DE","Germany","Total","From 15 to 64 years","Percentage",65.5,"b"
2006,2006,"DE","Germany","Total","From 15 to 64 years","Percentage",67.2,""
2007,2007,"DE","Germany","Total","From 15 to 64 years","Percentage",69,""
2008,2008,"DE","Germany","Total","From 15 to 64 years","Percentage",70.1,""
2009,2009,"DE","Germany","Total","From 15 to 64 years","Percentage",70.3,""
2010,2010,"DE","Germany","Total","From 15 to 64 years","Percentage",71.3,"b"
2011,2011,"DE","Germany","Total","From 15 to 64 years","Percentage",72.7,"b"
2012,2012,"DE","Germany","Total","From 15 to 64 years","Percentage",73,""
2013,2013,"DE","Germany","Total","From 15 to 64 years","Percentage",73.5,""
2014,2014,"DE","Germany","Total","From 15 to 64 years","Percentage",73.8,""
1999,1999,"EL","Greece","Total","From 15 to 64 years","Percentage",56,""
2000,2000,"EL","Greece","Total","From 15 to 64 years","Percentage",56.6,""
2001,2001,"EL","Greece","Total","From 15 to 64 years","Percentage",56.5,"b"
2002,2002,"EL","Greece","Total","From 15 to 64 years","Percentage",57.6,""
2003,2003,"EL","Greece","Total","From 15 to 64 years","Percentage",58.7,""
2004,2004,"EL","Greece","Total","From 15 to 64 years","Percentage",59.3,"b"
2005,2005,"EL","Greece","Total","From 15 to 64 years","Percentage",59.6,"b"
2006,2006,"EL","Greece","Total","From 15 to 64 years","Percentage",60.6,""
2007,2007,"EL","Greece","Total","From 15 to 64 years","Percentage",60.9,""
2008,2008,"EL","Greece","Total","From 15 to 64 years","Percentage",61.4,""
2009,2009,"EL","Greece","Total","From 15 to 64 years","Percentage",60.8,"b"
2010,2010,"EL","Greece","Total","From 15 to 64 years","Percentage",59.1,""
2011,2011,"EL","Greece","Total","From 15 to 64 years","Percentage",55.1,""
2012,2012,"EL","Greece","Total","From 15 to 64 years","Percentage",50.8,""
2013,2013,"EL","Greece","Total","From 15 to 64 years","Percentage",48.8,""
2014,2014,"EL","Greece","Total","From 15 to 64 years","Percentage",49.4,""
1999,1999,"HU","Hungary","Total","From 15 to 64 years","Percentage",55.4,""
2000,2000,"HU","Hungary","Total","From 15 to 64 years","Percentage",55.9,""
2001,2001,"HU","Hungary","Total","From 15 to 64 years","Percentage",56.1,"b"
2002,2002,"HU","Hungary","Total","From 15 to 64 years","Percentage",56.2,""
2003,2003,"HU","Hungary","Total","From 15 to 64 years","Percentage",57,""
2004,2004,"HU","Hungary","Total","From 15 to 64 years","Percentage",56.6,""
2005,2005,"HU","Hungary","Total","From 15 to 64 years","Percentage",56.9,"b"
2006,2006,"HU","Hungary","Total","From 15 to 64 years","Percentage",57.4,""
2007,2007,"HU","Hungary","Total","From 15 to 64 years","Percentage",57,""
2008,2008,"HU","Hungary","Total","From 15 to 64 years","Percentage",56.4,""
2009,2009,"HU","Hungary","Total","From 15 to 64 years","Percentage",55,""
2010,2010,"HU","Hungary","Total","From 15 to 64 years","Percentage",54.9,""
2011,2011,"HU","Hungary","Total","From 15 to 64 years","Percentage",55.4,""
2012,2012,"HU","Hungary","Total","From 15 to 64 years","Percentage",56.7,""
2013,2013,"HU","Hungary","Total","From 15 to 64 years","Percentage",58.1,""
2014,2014,"HU","Hungary","Total","From 15 to 64 years","Percentage",61.8,""
1999,1999,"IS","Iceland","Total","From 15 to 64 years","Percentage",85.4,""
2000,2000,"IS","Iceland","Total","From 15 to 64 years","Percentage",87.1,""
2001,2001,"IS","Iceland","Total","From 15 to 64 years","Percentage",86.9,""
2002,2002,"IS","Iceland","Total","From 15 to 64 years","Percentage",85,""
2003,2003,"IS","Iceland","Total","From 15 to 64 years","Percentage",84.3,"b"
2004,2004,"IS","Iceland","Total","From 15 to 64 years","Percentage",83.2,""
2005,2005,"IS","Iceland","Total","From 15 to 64 years","Percentage",83.8,"b"
2006,2006,"IS","Iceland","Total","From 15 to 64 years","Percentage",84.6,""
2007,2007,"IS","Iceland","Total","From 15 to 64 years","Percentage",85.1,""
2008,2008,"IS","Iceland","Total","From 15 to 64 years","Percentage",83.6,""
2009,2009,"IS","Iceland","Total","From 15 to 64 years","Percentage",78.3,""
2010,2010,"IS","Iceland","Total","From 15 to 64 years","Percentage",78.2,""
2011,2011,"IS","Iceland","Total","From 15 to 64 years","Percentage",78.5,""
2012,2012,"IS","Iceland","Total","From 15 to 64 years","Percentage",79.7,""
2013,2013,"IS","Iceland","Total","From 15 to 64 years","Percentage",81.1,""
2014,2014,"IS","Iceland","Total","From 15 to 64 years","Percentage",82.9,""
1999,1999,"IE","Ireland","Total","From 15 to 64 years","Percentage",62.5,""
2000,2000,"IE","Ireland","Total","From 15 to 64 years","Percentage",64.5,""
2001,2001,"IE","Ireland","Total","From 15 to 64 years","Percentage",65.2,""
2002,2002,"IE","Ireland","Total","From 15 to 64 years","Percentage",65.1,""
2003,2003,"IE","Ireland","Total","From 15 to 64 years","Percentage",65.1,""
2004,2004,"IE","Ireland","Total","From 15 to 64 years","Percentage",65.5,""
2005,2005,"IE","Ireland","Total","From 15 to 64 years","Percentage",67.6,"b"
2006,2006,"IE","Ireland","Total","From 15 to 64 years","Percentage",68.7,""
2007,2007,"IE","Ireland","Total","From 15 to 64 years","Percentage",69.2,"b"
2008,2008,"IE","Ireland","Total","From 15 to 64 years","Percentage",67.4,""
2009,2009,"IE","Ireland","Total","From 15 to 64 years","Percentage",61.9,"b"
2010,2010,"IE","Ireland","Total","From 15 to 64 years","Percentage",59.6,""
2011,2011,"IE","Ireland","Total","From 15 to 64 years","Percentage",58.9,""
2012,2012,"IE","Ireland","Total","From 15 to 64 years","Percentage",58.8,""
2013,2013,"IE","Ireland","Total","From 15 to 64 years","Percentage",60.5,""
2014,2014,"IE","Ireland","Total","From 15 to 64 years","Percentage",61.7,""
1999,1999,"IT","Italy","Total","From 15 to 64 years","Percentage",52.5,""
2000,2000,"IT","Italy","Total","From 15 to 64 years","Percentage",53.4,""
2001,2001,"IT","Italy","Total","From 15 to 64 years","Percentage",54.5,""
2002,2002,"IT","Italy","Total","From 15 to 64 years","Percentage",55.4,""
2003,2003,"IT","Italy","Total","From 15 to 64 years","Percentage",56.1,""
2004,2004,"IT","Italy","Total","From 15 to 64 years","Percentage",57.8,"b"
2005,2005,"IT","Italy","Total","From 15 to 64 years","Percentage",57.6,"b"
2006,2006,"IT","Italy","Total","From 15 to 64 years","Percentage",58.3,""
2007,2007,"IT","Italy","Total","From 15 to 64 years","Percentage",58.6,""
2008,2008,"IT","Italy","Total","From 15 to 64 years","Percentage",58.6,""
2009,2009,"IT","Italy","Total","From 15 to 64 years","Percentage",57.4,""
2010,2010,"IT","Italy","Total","From 15 to 64 years","Percentage",56.8,""
2011,2011,"IT","Italy","Total","From 15 to 64 years","Percentage",56.8,""
2012,2012,"IT","Italy","Total","From 15 to 64 years","Percentage",56.6,""
2013,2013,"IT","Italy","Total","From 15 to 64 years","Percentage",55.5,""
2014,2014,"IT","Italy","Total","From 15 to 64 years","Percentage",55.7,""
1999,1999,"LV","Latvia","Total","From 15 to 64 years","Percentage",58.8,""
2000,2000,"LV","Latvia","Total","From 15 to 64 years","Percentage",57.4,""
2001,2001,"LV","Latvia","Total","From 15 to 64 years","Percentage",58.1,""
2002,2002,"LV","Latvia","Total","From 15 to 64 years","Percentage",59.6,"b"
2003,2003,"LV","Latvia","Total","From 15 to 64 years","Percentage",60.3,""
2004,2004,"LV","Latvia","Total","From 15 to 64 years","Percentage",60.5,""
2005,2005,"LV","Latvia","Total","From 15 to 64 years","Percentage",62.1,"b"
2006,2006,"LV","Latvia","Total","From 15 to 64 years","Percentage",65.9,""
2007,2007,"LV","Latvia","Total","From 15 to 64 years","Percentage",68.1,""
2008,2008,"LV","Latvia","Total","From 15 to 64 years","Percentage",68.2,""
2009,2009,"LV","Latvia","Total","From 15 to 64 years","Percentage",60.3,""
2010,2010,"LV","Latvia","Total","From 15 to 64 years","Percentage",58.5,""
2011,2011,"LV","Latvia","Total","From 15 to 64 years","Percentage",60.8,""
2012,2012,"LV","Latvia","Total","From 15 to 64 years","Percentage",63,""
2013,2013,"LV","Latvia","Total","From 15 to 64 years","Percentage",65,""
2014,2014,"LV","Latvia","Total","From 15 to 64 years","Percentage",66.3,""
1999,1999,"LT","Lithuania","Total","From 15 to 64 years","Percentage",62.6,""
2000,2000,"LT","Lithuania","Total","From 15 to 64 years","Percentage",59.6,""
2001,2001,"LT","Lithuania","Total","From 15 to 64 years","Percentage",58.1,""
2002,2002,"LT","Lithuania","Total","From 15 to 64 years","Percentage",60.6,"b"
2003,2003,"LT","Lithuania","Total","From 15 to 64 years","Percentage",62.8,""
2004,2004,"LT","Lithuania","Total","From 15 to 64 years","Percentage",61.8,""
2005,2005,"LT","Lithuania","Total","From 15 to 64 years","Percentage",62.9,"b"
2006,2006,"LT","Lithuania","Total","From 15 to 64 years","Percentage",63.6,""
2007,2007,"LT","Lithuania","Total","From 15 to 64 years","Percentage",65,""
2008,2008,"LT","Lithuania","Total","From 15 to 64 years","Percentage",64.4,""
2009,2009,"LT","Lithuania","Total","From 15 to 64 years","Percentage",59.9,""
2010,2010,"LT","Lithuania","Total","From 15 to 64 years","Percentage",57.6,""
2011,2011,"LT","Lithuania","Total","From 15 to 64 years","Percentage",60.2,""
2012,2012,"LT","Lithuania","Total","From 15 to 64 years","Percentage",62,""
2013,2013,"LT","Lithuania","Total","From 15 to 64 years","Percentage",63.7,""
2014,2014,"LT","Lithuania","Total","From 15 to 64 years","Percentage",65.7,""
1999,1999,"LU","Luxembourg","Total","From 15 to 64 years","Percentage",61.6,""
2000,2000,"LU","Luxembourg","Total","From 15 to 64 years","Percentage",62.7,""
2001,2001,"LU","Luxembourg","Total","From 15 to 64 years","Percentage",63,""
2002,2002,"LU","Luxembourg","Total","From 15 to 64 years","Percentage",63.6,""
2003,2003,"LU","Luxembourg","Total","From 15 to 64 years","Percentage",62.2,"b"
2004,2004,"LU","Luxembourg","Total","From 15 to 64 years","Percentage",62.5,""
2005,2005,"LU","Luxembourg","Total","From 15 to 64 years","Percentage",63.6,"b"
2006,2006,"LU","Luxembourg","Total","From 15 to 64 years","Percentage",63.6,""
2007,2007,"LU","Luxembourg","Total","From 15 to 64 years","Percentage",64.2,"b"
2008,2008,"LU","Luxembourg","Total","From 15 to 64 years","Percentage",63.4,""
2009,2009,"LU","Luxembourg","Total","From 15 to 64 years","Percentage",65.2,"b"
2010,2010,"LU","Luxembourg","Total","From 15 to 64 years","Percentage",65.2,""
2011,2011,"LU","Luxembourg","Total","From 15 to 64 years","Percentage",64.6,""
2012,2012,"LU","Luxembourg","Total","From 15 to 64 years","Percentage",65.8,""
2013,2013,"LU","Luxembourg","Total","From 15 to 64 years","Percentage",65.7,""
2014,2014,"LU","Luxembourg","Total","From 15 to 64 years","Percentage",66.6,""
1999,1999,"MT","Malta","Total","From 15 to 64 years","Percentage",NA,""
2000,2000,"MT","Malta","Total","From 15 to 64 years","Percentage",54.5,""
2001,2001,"MT","Malta","Total","From 15 to 64 years","Percentage",54.7,""
2002,2002,"MT","Malta","Total","From 15 to 64 years","Percentage",55,""
2003,2003,"MT","Malta","Total","From 15 to 64 years","Percentage",54.6,""
2004,2004,"MT","Malta","Total","From 15 to 64 years","Percentage",53.4,"b"
2005,2005,"MT","Malta","Total","From 15 to 64 years","Percentage",53.6,"b"
2006,2006,"MT","Malta","Total","From 15 to 64 years","Percentage",53.9,""
2007,2007,"MT","Malta","Total","From 15 to 64 years","Percentage",55,""
2008,2008,"MT","Malta","Total","From 15 to 64 years","Percentage",55.5,""
2009,2009,"MT","Malta","Total","From 15 to 64 years","Percentage",55.3,""
2010,2010,"MT","Malta","Total","From 15 to 64 years","Percentage",56.2,""
2011,2011,"MT","Malta","Total","From 15 to 64 years","Percentage",57.9,""
2012,2012,"MT","Malta","Total","From 15 to 64 years","Percentage",59.1,""
2013,2013,"MT","Malta","Total","From 15 to 64 years","Percentage",60.8,""
2014,2014,"MT","Malta","Total","From 15 to 64 years","Percentage",62.4,""
1999,1999,"NL","Netherlands","Total","From 15 to 64 years","Percentage",70.9,""
2000,2000,"NL","Netherlands","Total","From 15 to 64 years","Percentage",72.9,""
2001,2001,"NL","Netherlands","Total","From 15 to 64 years","Percentage",74.1,""
2002,2002,"NL","Netherlands","Total","From 15 to 64 years","Percentage",74.5,""
2003,2003,"NL","Netherlands","Total","From 15 to 64 years","Percentage",73.8,""
2004,2004,"NL","Netherlands","Total","From 15 to 64 years","Percentage",73.1,""
2005,2005,"NL","Netherlands","Total","From 15 to 64 years","Percentage",73.2,"b"
2006,2006,"NL","Netherlands","Total","From 15 to 64 years","Percentage",74.3,""
2007,2007,"NL","Netherlands","Total","From 15 to 64 years","Percentage",76,""
2008,2008,"NL","Netherlands","Total","From 15 to 64 years","Percentage",77.2,""
2009,2009,"NL","Netherlands","Total","From 15 to 64 years","Percentage",77,""
2010,2010,"NL","Netherlands","Total","From 15 to 64 years","Percentage",74.7,"b"
